card_number,valid_from,expiry,security_code,x-coordinate,y-coordinate,mean_amount,std_amount,mean_nb_tx_per_day,cust_id,card_type_id
2683552312432925,2014-03-01,2024-03-01,277,82.26005606596583,36.019064141126286,17.07,8.54,2.09,99,10
2304945198327319,2018-11-01,2028-11-01,851,87.73730719279554,74.07686177542044,71.22,35.61,2.81,11,3
4464170805310036,2016-04-01,2026-04-01,92,22.793516254194166,42.71077886262563,82.71,41.35,3.44,96,4
4902787429671756,2019-11-01,2029-11-01,551,69.09377381024659,38.67353463005374,93.99,46.99,0.55,98,8
2299594406409092,2021-05-01,2031-05-01,439,32.539969815926774,74.64914051180241,66.72,33.36,3.4,53,6
2700699016272047,2019-05-01,2029-05-01,537,80.74401551640625,89.60912999234932,35.21,17.61,0.44,5,5
4931491905865181,2018-09-01,2028-09-01,67,11.98653673336828,33.7615171403628,94.58,47.29,1.29,8,5
2294823662994686,2012-12-01,2022-12-01,443,76.07850486168974,56.12771975694962,78.24,39.12,1.98,77,2
5482422535841433,2022-04-01,2032-04-01,424,11.816482762165624,69.67371653641507,64.75,32.38,3.51,17,9
2720136193990915,2020-01-01,2030-01-01,998,8.84925020519195,19.59828624191452,9.3,4.65,1.3,11,8
2720650752735453,2017-09-01,2027-09-01,948,96.24472949421111,25.178229582536417,52.24,26.12,1.2,89,7
2226953278774702,2014-06-01,2024-06-01,687,85.84127518430118,42.89940273750184,76.33,38.16,3.02,64,5
4533158692322609,2015-12-01,2025-12-01,563,77.12703466859458,7.4044651734090365,39.05,19.52,0.46,5,10
4187026217459611,2018-07-01,2028-07-01,865,64.20316461542878,8.413996499504883,20.35,10.18,3.59,90,3
2720938677496495,2013-12-01,2023-12-01,913,36.77831327192532,63.23058305935795,65.19,32.59,2.14,26,5
2317711592124990,2022-03-01,2032-03-01,569,85.11366715168569,31.692200515627768,21.1,10.55,2.23,60,4
2531217271551883,2017-11-01,2027-11-01,422,19.57911347892964,6.9361300875165455,14.57,7.29,0.07,71,7
4899809402445506,2016-01-01,2026-01-01,296,35.94911512197552,29.35918442644933,81.89,40.95,3.24,59,4
4179640537735151,2022-03-01,2032-03-01,506,28.07723624408558,2.431596643145384,66.32,33.16,0.71,22,9
4607337543303650,2017-08-01,2027-08-01,145,86.31034258755935,62.329812682755794,36.44,18.22,0.25,25,7
4533963605766275,2013-07-01,2023-07-01,289,72.59556788702393,89.71102599525771,89.27,44.63,3.12,60,10
2481618495931035,2017-11-01,2027-11-01,131,60.11150117432088,70.80725777960456,6.96,3.48,3.88,57,8
4379176936763203,2014-09-01,2024-09-01,632,3.142918568673425,63.64104112637804,34.86,17.43,2.03,48,7
4473647102767736,2018-09-01,2028-09-01,925,75.06147516408583,80.6834739267264,99.1,49.55,1.65,75,4
4942104709521457,2019-12-01,2029-12-01,232,65.76128923003434,56.830860333547164,13.9,6.95,1.47,94,6
2720611836736578,2019-09-01,2029-09-01,615,93.6154774160781,69.6029796674973,59.16,29.58,0.39,96,5
5471274846773786,2015-05-01,2025-05-01,639,52.965057835600646,24.18522909004517,13.84,6.92,3.59,55,5
2233221418880594,2015-02-01,2025-02-01,962,40.89529444142699,17.329432007084577,19.86,9.93,1.0,4,5
4029702135569093,2015-07-01,2025-07-01,755,38.816992620652194,64.32882184423532,48.53,24.27,2.18,56,6
4992299590010948,2016-07-01,2026-07-01,969,73.50710438038858,80.34809303848486,31.79,15.89,0.71,22,9
2283287101226915,2019-06-01,2029-06-01,697,61.18528947223795,13.949386065204184,32.75,16.38,1.47,8,2
5493745299124191,2013-05-01,2023-05-01,496,0.6952130531190703,51.07473025775657,44.65,22.32,0.89,5,8
4255341928327644,2022-05-01,2032-05-01,350,83.24426408004217,21.233911067827616,22.27,11.13,0.73,81,6
5561375060685365,2014-04-01,2024-04-01,530,41.96000624277899,24.773098950115745,38.82,19.41,3.03,90,2
5271518203778891,2015-08-01,2025-08-01,554,72.60913337226616,97.58520794625346,54.05,27.02,1.29,10,7
2250748217594644,2020-09-01,2030-09-01,436,65.19612595026005,22.42693094605598,72.66,36.33,0.95,66,1
2705014294019653,2018-04-01,2028-04-01,698,31.09823217156622,32.518332202674706,74.31,37.16,2.55,32,2
2253321819600131,2016-11-01,2026-11-01,890,37.454011884736246,95.07143064099162,74.54,37.27,2.39,11,1
2229809570154307,2017-01-01,2027-01-01,911,59.24145688620425,4.645041271999773,62.72,31.36,0.68,29,10
4043030548687407,2016-03-01,2026-03-01,450,37.46126146264712,62.58599157142364,52.8,26.4,3.43,68,7
4410369711798087,2022-09-01,2032-09-01,324,85.54605840110072,70.36578593800236,50.05,25.02,0.39,88,5
4367837770143638,2018-02-01,2028-02-01,957,28.48404943774676,3.68869473545328,62.91,31.45,2.01,41,5
5417758917839085,2018-01-01,2028-01-01,700,96.36199770892529,85.300945546736,32.97,16.48,1.54,77,6
2282711116152809,2022-11-01,2032-11-01,885,61.500722669916975,99.00538501042632,18.31,9.15,2.07,58,8
4379402654235111,2019-05-01,2029-05-01,155,15.601864044243651,15.599452033620263,10.52,5.26,3.46,84,8
4083172788957982,2020-03-01,2030-03-01,872,90.7566473926093,24.929222914887493,43.99,22.0,3.02,73,3
4975161369681641,2018-09-01,2028-09-01,352,28.65412521282844,59.08332605690107,7.9,3.95,0.15,92,8
4476797643815614,2017-09-01,2027-09-01,978,79.82951789667752,64.99639307777652,71.69,35.84,3.18,63,1
4204711671902292,2018-02-01,2028-02-01,131,67.21355474058785,76.16196153287176,27.58,13.79,2.91,63,10
5432370589578297,2014-05-01,2024-05-01,146,9.44429607559284,68.30067734163569,11.76,5.88,1.28,22,1
2546807154516806,2022-02-01,2032-02-01,760,34.10663510502585,11.347352124058908,92.85,46.42,3.51,8,10
4184514627048283,2014-09-01,2024-09-01,489,45.6069984217036,78.51759613930136,23.97,11.98,2.06,25,1
4574443135182335,2021-02-01,2031-02-01,498,5.147875124998935,27.864646423661146,91.29,45.65,0.96,19,3
4625881537147324,2014-07-01,2024-07-01,46,37.20180857927832,77.64129607419969,37.38,18.69,3.72,43,7
2294887719065949,2013-05-01,2023-05-01,139,51.2093058299281,22.649577519793795,66.29,33.15,0.7,57,1
5198393010310514,2021-08-01,2031-08-01,347,30.46137691733707,9.767211400638388,70.0,35.0,1.76,1,7
2666912517785280,2022-12-01,2032-12-01,226,84.48753109694546,2.3271935735825866,82.37,41.19,1.13,70,1
