cust_id,first_name,last_name,email,phone,address,city,state,zip
1,Denise,Walker,denisewalker717@gmail.com,689-114-6781,1040 West 27th Avenue #APT 000401,Anchorage,AK,99503
2,James,Howard,jameshoward130@yahoo.com,995-180-7785,72 Milford Road ,Manchester,CT,06042
3,Danielle,Ford,danielleford524@gmail.com,481-134-1040,11 Water Street ,Holbrook,MA,02343
4,Jeffrey,Silva,jeffreysilva322@hotmail.com,508-222-0381,111 Lakeview Terrace ,Lynn Haven,FL,32444
5,Jeffrey,Chavez,jeffreychavez324@gmail.com,796-168-2014,18330 North 79th Avenue #3155,Glendale,AZ,85308
6,Latoya,Miller,latoyamiller719@hotmail.com,641-408-2763,1169 East Hopkins Avenue ,Aspen,CO,81611
7,Alisha,Spencer,alishaspencer626@gmail.com,794-832-4894,328 South Ranchwood Manor Drive ,Oklahoma City,OK,73139
8,Nicholas,Nunez,nicholasnunez590@hotmail.com,729-574-6727,1528 Stafford Avenue ,Hayward,CA,94541
9,Karla,Lewis,karlalewis11@yahoo.com,273-724-6285,32 Prospect Street #32,Manchester,CT,06040
10,Cynthia,Wilson,cynthiawilson632@hotmail.com,955-645-5134,301 Willow Way ,Lynn Haven,FL,32444
11,Brooke,Bass,brookebass153@hotmail.com,225-078-0624,2324 North Briarwood Lane ,Fayetteville,AR,72703
12,Andrew,Cook,andrewcook178@hotmail.com,128-181-5377,1508 Massachusetts Avenue Southeast ,Washington,DC,20003
13,Dr. Timothy,Young,dr.young819@hotmail.com,359-670-7500,3919 Landherr Drive ,Louisville,KY,40299
14,Walter,Ramirez,walterramirez884@hotmail.com,618-531-8410,5420 Sunset Avenue ,Panama City Beach,FL,32408
15,Andrea,Beck,andreabeck625@hotmail.com,735-060-2826,545 East Muhammad Ali Boulevard #103,Louisville,KY,40202
16,Michael,Dixon,michaeldixon107@hotmail.com,470-738-6572,108 Chalmers Avenue ,Glen Burnie,MD,21061
17,Robert,Dominguez,robertdominguez117@yahoo.com,283-486-6863,188 Saint Matthews Avenue #1,Louisville,KY,40207
18,Paul,Larsen,paullarsen381@gmail.com,702-255-7559,4300 Kansas Avenue Northwest ,Washington,DC,20011
19,Jean,Carrillo,jeancarrillo267@yahoo.com,342-120-9754,275 Ridge Lane #204,Waltham,MA,02452
20,Leslie,Alvarado,lesliealvarado855@hotmail.com,278-260-4052,5908 Sedberry Road ,Nashville,TN,37205
21,Rachael,Pearson,rachaelpearson754@gmail.com,182-635-5066,4 Cutting Avenue ,Worcester,MA,01606
22,Miguel,Jones,migueljones951@hotmail.com,915-682-8105,517 Retford Drive ,Severna Park,MD,21146
23,Morgan,Sheppard,morgansheppard318@yahoo.com,226-582-0981,711 Tatem Street ,Savannah,GA,31405
24,Michelle,Freeman,michellefreeman156@gmail.com,838-476-8279,4714 Narrow Lane Road ,Montgomery,AL,36116
