username,password,expiry_date,security_question,security_answer,cust_id
frog_tenant9195,zMyB*Kayn#A%,2024-07-02,What is the first name of the boy or girl that you first kissed?,Kalen,1
schnitzel_touch6669,LUsz&jdCT3Nl,2024-05-11,What is your oldest cousin's first name?,Katie,2
larch_emphasis3189,j8@%mJEbMVHp,2024-03-11,What is your oldest sibling's middle name?,Janeen,3
everything_smiling6354,gUU0yV3fcz9a,2023-02-04,What is your oldest sibling's middle name?,Arlis,4
artichoke_attenuation9372,1d#MN0vEcV1M,2023-09-13,What is your oldest cousin's first name?,Tatiana,5
rabid_analgesia6591,wrzv&ZJ6p2MS,2023-12-18,What is your oldest sibling's middle name?,Mathias,6
obi_legging3993,yOLnzTP5%Cmr,2024-04-30,What is the name of your favorite childhood friend?,Chas,7
linen_testy9087,zkpz8l8N%jl&,2023-05-04,What was the name of your first stuffed animal?,Machelle,8
trout_stuff7828,ZSbeCC2JRPYa,2024-06-30,What is your oldest sibling's middle name?,Nicola,9
go-kart_plight5286,#qPIGK0mUNcD,2024-09-01,What was your childhood nickname?,Marland,10
squirrel_expedition5335,grAcxoTXR*Kb,2023-07-09,What was your childhood nickname?,Earle,11
railroad_overweight4501,FwHJ&6arqe6W,2024-10-01,What was your childhood nickname?,Elba,12
peach_warlord5137,gZfzlR95wusm,2023-10-10,What is your oldest cousin's first name?,Karyn,13
llama_yam1193,uL^0@8Lzw%0x,2024-09-28,What is your oldest sibling's middle name?,Suzette,14
invitation_cub8346,0Ly5fGoc8NTF,2024-02-03,What is your oldest cousin's first name?,Osvaldo,15
ephemera_scow9300,27O#FUFAZN2H,2024-03-30,What is your oldest sibling's middle name?,Belle,16
flintlock_level1652,yReXt7pgKHIa,2022-12-21,What is your oldest cousin's first name?,Hardy,17
driver_lark8440,zkShOOwod4E6,2024-11-20,What was the name of your first stuffed animal?,Oren,18
sitar_adjustment4098,AZXjJ#Nv#%*5,2022-12-22,What is the name of your favorite childhood friend?,Jalynn,19
labor_scenery5786,ZUzFZzK3#ijd,2024-08-08,What is your oldest cousin's first name?,Zackary,20
